Replicate,Date Range,Valid Days,Animals,Strong Cycling,Moderate,Phase Clustering p,Dose 1 Day,Cage Change Day,Dose 2 Day
Rep1,2025-01-07 to 2025-01-22,Days 2-16,9,6/9,2/9,0.0444,8,9,11
Rep2,2025-01-22 to 2025-02-04,Days 2-14,9,5/9,1/9,0.0675,7,8,10
