feature,active,climbing,drinking,feeding,inactive,inferred_sleep,locomotion
active,1.0,0.17574221071950977,0.09898017066712865,0.31567885292167713,-0.735879802793446,-0.1242734141088861,0.11276939494631656
climbing,0.17574221071950977,1.0,-0.19118816176842635,0.45326067432868605,-0.25417811402965557,-0.15498001923113244,0.09991252651012916
drinking,0.09898017066712865,-0.19118816176842635,1.0,-0.1214254119627724,-0.14779902053502014,-0.12745961724859417,-0.13658230386232498
feeding,0.31567885292167713,0.45326067432868605,-0.1214254119627724,1.0,-0.25816915293172976,-0.12524923966187756,0.344983352773599
inactive,-0.735879802793446,-0.25417811402965557,-0.14779902053502014,-0.25816915293172976,1.0,0.1214009988604813,0.031410832901959576
inferred_sleep,-0.1242734141088861,-0.15498001923113244,-0.12745961724859417,-0.12524923966187756,0.1214009988604813,1.0,0.02716688059625747
locomotion,0.11276939494631656,0.09991252651012916,-0.13658230386232498,0.344983352773599,0.031410832901959576,0.02716688059625747,1.0
