animal_id,dose_group,event,feature,window,baseline_mean,window_mean,pct_change
9241,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_early,9.265829829068526,11.172196370955657,20.574158786151308
9241,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_sustained,9.265829829068526,11.866890608010948,28.07153624581406
9241,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_early,9.265829829068526,8.52176467463772,-8.030205261233531
9241,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_late,9.265829829068526,4.148639260724967,-55.22646824669755
9241,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_6hr,9.265829829068526,4.551298798447664,-50.8808289985054
9241,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_12hr,9.265829829068526,11.899811563359412,28.426830439165045
9241,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,next_day,9.265829829068526,7.497292934470238,-19.086654160753945
9242,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,immediate,10.705329120019472,9.269906438737053,-13.408487167368927
9242,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_early,10.705329120019472,12.46383625424078,16.426464936354137
9242,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_sustained,10.705329120019472,13.189750896553159,23.20733672622638
9242,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_early,10.705329120019472,11.088907937749854,3.583064223715183
9242,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_late,10.705329120019472,4.775977165232544,-55.38691887294487
9242,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_6hr,10.705329120019472,4.654624806048626,-56.520488498160624
9242,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_12hr,10.705329120019472,9.095532180194981,-15.037341886239583
9242,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,next_day,10.705329120019472,6.853224844481732,-35.983053228453514
9243,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,immediate,8.717489030517442,12.231627366940405,40.3113594306912
9243,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_early,8.717489030517442,11.067531801108423,26.957794410341695
9243,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_sustained,8.717489030517442,13.072757936797846,49.9601306182761
9243,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_early,8.717489030517442,10.418817319962114,19.516265331551413
9243,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_late,8.717489030517442,4.169312881962859,-52.17300684443325
9243,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_6hr,8.717489030517442,4.568626042525648,-47.592408472988126
9243,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_12hr,8.717489030517442,9.173534861416085,5.231389787840941
9243,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,next_day,8.717489030517442,8.331013745984786,-4.433332616533457
9244,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,immediate,12.651953136269666,9.822016476209427,-22.3675872774741
9244,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_early,12.651953136269666,13.539973748997323,7.018842096260582
9244,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_sustained,12.651953136269666,12.464401283627307,-1.482394462122215
9244,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_early,12.651953136269666,11.039960088251252,-12.741060851682054
9244,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_late,12.651953136269666,3.9842623498910417,-68.50871713657192
9244,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_6hr,12.651953136269666,4.792095096925057,-62.1236733545318
9244,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_12hr,12.651953136269666,9.96660369940485,-21.22478172296307
9244,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,next_day,12.651953136269666,6.253113448535561,-50.5759041217944
9245,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,immediate,11.057806499759625,11.163998083258702,0.960331359581901
9245,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_early,11.057806499759625,9.9436046672233,-10.076155994957464
9245,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_sustained,11.057806499759625,11.859530501296364,7.250298705752961
9245,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_early,11.057806499759625,9.153140569355624,-17.22462705822718
9245,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_late,11.057806499759625,4.476122524587776,-59.52070128297978
9245,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_6hr,11.057806499759625,4.6173538623498125,-58.24349193983287
9245,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_12hr,11.057806499759625,9.245433979276727,-16.38998223130686
9245,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,next_day,11.057806499759625,8.834384040834966,-20.10726502559972
9246,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,immediate,9.994781772453488,9.36064285487147,-6.344699984643598
9246,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_early,9.994781772453488,10.67694676349542,6.825211461065021
9246,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_sustained,9.994781772453488,12.893471211032706,29.0020283040923
9246,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_early,9.994781772453488,8.959990531685127,-10.35331500303826
9246,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_late,9.994781772453488,4.814287616416313,-51.831988671479344
9246,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_6hr,9.994781772453488,4.756466078311122,-52.41050593600385
9246,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_12hr,9.994781772453488,8.781030615566866,-12.143848505345339
9246,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,next_day,9.994781772453488,5.841077460731028,-41.55872940788402
9247,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,immediate,10.075722727306657,8.362716765406336,-17.00132097976285
9247,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_early,10.075722727306657,9.788349509695077,-2.852135031790388
9247,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_sustained,10.075722727306657,10.506205667218678,4.27247703775483
9247,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_early,10.075722727306657,10.906412767728272,8.244471021124129
9247,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_late,10.075722727306657,7.879065297704385,-21.801487486838177
9247,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_6hr,10.075722727306657,4.247668152473932,-57.842546212966525
9247,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_12hr,10.075722727306657,8.214217034522946,-18.475157992773685
9247,5 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,next_day,10.075722727306657,7.2770685476861425,-27.776212737928557
