animal_id,dose_group,event,feature,window,pct_change
9242,5 mg/kg,Rep1_Dose2,animal_bouts.active,next_day,54.401964067500415
9243,5 mg/kg,Rep1_Dose1,animal_bouts.active,immediate,-25.71225071225069
9243,5 mg/kg,Rep1_Dose1,animal_bouts.active,peak_early,-12.863972186006082
9243,5 mg/kg,Rep1_Dose1,animal_bouts.active,peak_sustained,-8.9506172839506
9243,5 mg/kg,Rep1_Dose1,animal_bouts.active,decline_early,-12.891737891737886
9243,5 mg/kg,Rep1_Dose1,animal_bouts.active,decline_late,-64.69869999281764
9243,5 mg/kg,Rep1_Dose1,animal_bouts.active,post_6hr,-51.869359690588745
9243,5 mg/kg,Rep1_Dose1,animal_bouts.active,post_12hr,-19.218898385565037
9243,5 mg/kg,Rep1_Dose1,animal_bouts.active,next_day,-38.51495726495726
9243,5 mg/kg,Rep1_Dose2,animal_bouts.active,immediate,23.02308802308799
9243,5 mg/kg,Rep1_Dose2,animal_bouts.active,peak_early,139.23520923520925
9243,5 mg/kg,Rep1_Dose2,animal_bouts.active,peak_sustained,163.42833092833095
9243,5 mg/kg,Rep1_Dose2,animal_bouts.active,decline_early,182.65512265512265
9243,5 mg/kg,Rep1_Dose2,animal_bouts.active,decline_late,158.76352813852813
9243,5 mg/kg,Rep1_Dose2,animal_bouts.active,post_6hr,121.03715728715727
9243,5 mg/kg,Rep1_Dose2,animal_bouts.active,post_12hr,168.39466089466092
9243,5 mg/kg,Rep1_Dose2,animal_bouts.active,next_day,126.48129338073473
9244,5 mg/kg,Rep1_Dose1,animal_bouts.active,immediate,7.016393442622965
9244,5 mg/kg,Rep1_Dose1,animal_bouts.active,peak_early,29.36926924145597
9244,5 mg/kg,Rep1_Dose1,animal_bouts.active,peak_sustained,24.444444444444436
9244,5 mg/kg,Rep1_Dose1,animal_bouts.active,decline_early,10.142076502732271
9244,5 mg/kg,Rep1_Dose1,animal_bouts.active,decline_late,-56.489874638379945
9244,5 mg/kg,Rep1_Dose1,animal_bouts.active,post_6hr,-37.98699514607565
9244,5 mg/kg,Rep1_Dose1,animal_bouts.active,post_12hr,-7.657559198542792
9244,5 mg/kg,Rep1_Dose1,animal_bouts.active,next_day,-10.426229508196727
9244,5 mg/kg,Rep1_Dose2,animal_bouts.active,immediate,72.44113122707368
9244,5 mg/kg,Rep1_Dose2,animal_bouts.active,peak_early,71.81280321855397
9244,5 mg/kg,Rep1_Dose2,animal_bouts.active,peak_sustained,42.70027215714115
9244,5 mg/kg,Rep1_Dose2,animal_bouts.active,decline_early,65.5644302449414
9244,5 mg/kg,Rep1_Dose2,animal_bouts.active,decline_late,56.73293101408117
9244,5 mg/kg,Rep1_Dose2,animal_bouts.active,post_6hr,50.263479667100505
9244,5 mg/kg,Rep1_Dose2,animal_bouts.active,post_12hr,49.65842306630376
9244,5 mg/kg,Rep1_Dose2,animal_bouts.active,next_day,30.860715964326698
9245,5 mg/kg,Rep1_Dose1,animal_bouts.active,immediate,36.713895103156844
9245,5 mg/kg,Rep1_Dose1,animal_bouts.active,peak_early,8.227690778026343
9245,5 mg/kg,Rep1_Dose1,animal_bouts.active,peak_sustained,-7.79683486618611
9245,5 mg/kg,Rep1_Dose1,animal_bouts.active,decline_early,-35.64504101416852
9245,5 mg/kg,Rep1_Dose1,animal_bouts.active,decline_late,-23.799497427606386
9245,5 mg/kg,Rep1_Dose1,animal_bouts.active,post_6hr,-36.64362874366249
9245,5 mg/kg,Rep1_Dose1,animal_bouts.active,post_12hr,-24.202502278564914
9245,5 mg/kg,Rep1_Dose1,animal_bouts.active,next_day,13.298533432761634
9245,5 mg/kg,Rep1_Dose2,animal_bouts.active,immediate,-19.53182150694951
9245,5 mg/kg,Rep1_Dose2,animal_bouts.active,peak_early,34.05576977917748
9245,5 mg/kg,Rep1_Dose2,animal_bouts.active,peak_sustained,77.517678614972
9245,5 mg/kg,Rep1_Dose2,animal_bouts.active,decline_early,85.66203365032919
9245,5 mg/kg,Rep1_Dose2,animal_bouts.active,decline_late,28.12728602779811
9245,5 mg/kg,Rep1_Dose2,animal_bouts.active,post_6hr,56.19572280367646
9245,5 mg/kg,Rep1_Dose2,animal_bouts.active,post_12hr,55.75435341427833
9245,5 mg/kg,Rep1_Dose2,animal_bouts.active,next_day,19.312362838332138
9246,5 mg/kg,Rep1_Dose1,animal_bouts.active,immediate,-35.52578156719447
9246,5 mg/kg,Rep1_Dose1,animal_bouts.active,peak_early,0.324807145757225
9246,5 mg/kg,Rep1_Dose1,animal_bouts.active,peak_sustained,12.302070645554195
9246,5 mg/kg,Rep1_Dose1,animal_bouts.active,decline_early,-4.506699147381217
9246,5 mg/kg,Rep1_Dose1,animal_bouts.active,decline_late,-31.299194464631164
9246,5 mg/kg,Rep1_Dose1,animal_bouts.active,post_6hr,-22.794793105560064
9246,5 mg/kg,Rep1_Dose1,animal_bouts.active,post_12hr,-20.78765732846122
9246,5 mg/kg,Rep1_Dose1,animal_bouts.active,next_day,-37.569359859250234
9246,5 mg/kg,Rep1_Dose2,animal_bouts.active,immediate,30.073800738007378
9246,5 mg/kg,Rep1_Dose2,animal_bouts.active,peak_early,119.61973857026706
9246,5 mg/kg,Rep1_Dose2,animal_bouts.active,peak_sustained,145.14145141451417
9246,5 mg/kg,Rep1_Dose2,animal_bouts.active,decline_early,106.3191881918819
9246,5 mg/kg,Rep1_Dose2,animal_bouts.active,decline_late,80.35055350553509
9246,5 mg/kg,Rep1_Dose2,animal_bouts.active,post_6hr,111.69267558597376
9246,5 mg/kg,Rep1_Dose2,animal_bouts.active,post_12hr,108.94060895916225
9246,5 mg/kg,Rep1_Dose2,animal_bouts.active,next_day,61.93111931119315
9247,5 mg/kg,Rep1_Dose1,animal_bouts.active,immediate,8.956386292834889
9247,5 mg/kg,Rep1_Dose1,animal_bouts.active,peak_early,-8.138629283489108
9247,5 mg/kg,Rep1_Dose1,animal_bouts.active,peak_sustained,-29.10176531671858
9247,5 mg/kg,Rep1_Dose1,animal_bouts.active,decline_early,3.9914330218068397
9247,5 mg/kg,Rep1_Dose1,animal_bouts.active,decline_late,-23.054268436346533
9247,5 mg/kg,Rep1_Dose1,animal_bouts.active,post_6hr,-40.28350650028716
9247,5 mg/kg,Rep1_Dose1,animal_bouts.active,post_12hr,-30.672377985462113
9247,5 mg/kg,Rep1_Dose1,animal_bouts.active,next_day,-29.893561786085147
9247,5 mg/kg,Rep1_Dose2,animal_bouts.active,immediate,-22.052130740587483
9247,5 mg/kg,Rep1_Dose2,animal_bouts.active,peak_early,62.9138236923487
9247,5 mg/kg,Rep1_Dose2,animal_bouts.active,peak_sustained,84.08495379947595
9247,5 mg/kg,Rep1_Dose2,animal_bouts.active,decline_early,98.01406702523788
9247,5 mg/kg,Rep1_Dose2,animal_bouts.active,decline_late,78.85808853951183
9247,5 mg/kg,Rep1_Dose2,animal_bouts.active,post_6hr,51.66314952512812
9247,5 mg/kg,Rep1_Dose2,animal_bouts.active,post_12hr,66.72406580020944
9247,5 mg/kg,Rep1_Dose2,animal_bouts.active,next_day,47.97958902220385
9248,5 mg/kg,Rep2_Dose1,animal_bouts.active,immediate,-48.094830048557554
9248,5 mg/kg,Rep2_Dose1,animal_bouts.active,peak_early,51.77377892030852
9248,5 mg/kg,Rep2_Dose1,animal_bouts.active,peak_sustained,144.898029134533
9248,5 mg/kg,Rep2_Dose1,animal_bouts.active,decline_early,163.30077120822622
9248,5 mg/kg,Rep2_Dose1,animal_bouts.active,decline_late,128.4164524421594
9248,5 mg/kg,Rep2_Dose1,animal_bouts.active,post_6hr,97.25696887880403
9248,5 mg/kg,Rep2_Dose1,animal_bouts.active,post_12hr,130.77577834904318
9248,5 mg/kg,Rep2_Dose1,animal_bouts.active,next_day,112.00040211974553
9248,5 mg/kg,Rep2_Dose2,animal_bouts.active,immediate,-1.2010848508330236
9248,5 mg/kg,Rep2_Dose2,animal_bouts.active,peak_early,-37.8133102852204
9248,5 mg/kg,Rep2_Dose2,animal_bouts.active,peak_sustained,0.0
9248,5 mg/kg,Rep2_Dose2,animal_bouts.active,decline_early,2.787381158167679
9248,5 mg/kg,Rep2_Dose2,animal_bouts.active,decline_late,-59.37037633857286
9248,5 mg/kg,Rep2_Dose2,animal_bouts.active,post_6hr,-46.049736780073864
9248,5 mg/kg,Rep2_Dose2,animal_bouts.active,post_12hr,-0.9651397291846568
9248,5 mg/kg,Rep2_Dose2,animal_bouts.active,next_day,-6.25180063382311
9249,5 mg/kg,Rep2_Dose1,animal_bouts.active,immediate,-45.239739979099134
9249,5 mg/kg,Rep2_Dose1,animal_bouts.active,peak_early,115.4949784791965
9249,5 mg/kg,Rep2_Dose1,animal_bouts.active,peak_sustained,111.99744938625858
9249,5 mg/kg,Rep2_Dose1,animal_bouts.active,decline_early,127.9866092778575
9249,5 mg/kg,Rep2_Dose1,animal_bouts.active,decline_late,128.92714809501038
9249,5 mg/kg,Rep2_Dose1,animal_bouts.active,post_6hr,81.40314035411136
9249,5 mg/kg,Rep2_Dose1,animal_bouts.active,post_12hr,79.70561666400971
9249,5 mg/kg,Rep2_Dose1,animal_bouts.active,next_day,118.76197270023958
9249,5 mg/kg,Rep2_Dose2,animal_bouts.active,immediate,2.5432349949135538
9249,5 mg/kg,Rep2_Dose2,animal_bouts.active,peak_early,16.459816887080372
9249,5 mg/kg,Rep2_Dose2,animal_bouts.active,peak_sustained,24.81519159036967
9249,5 mg/kg,Rep2_Dose2,animal_bouts.active,decline_early,18.718209562563597
9249,5 mg/kg,Rep2_Dose2,animal_bouts.active,decline_late,-46.63861923892615
9249,5 mg/kg,Rep2_Dose2,animal_bouts.active,post_6hr,-35.16137982058632
9249,5 mg/kg,Rep2_Dose2,animal_bouts.active,post_12hr,1.0783316378433592
9249,5 mg/kg,Rep2_Dose2,animal_bouts.active,next_day,-7.182095625635811
