feature,active,climbing,drinking,feeding,inactive,inferred_sleep,locomotion
active,1.0,0.055709725627590405,,-0.20552631170397437,-0.2481906320776911,,0.12087734143705312
climbing,0.055709725627590405,1.0,,0.04646899733372777,-0.24150337482193115,,0.17453608169113777
drinking,,,,,,,
feeding,-0.20552631170397437,0.04646899733372777,,1.0,0.48275347569346805,,-0.31023016978268464
inactive,-0.2481906320776911,-0.24150337482193115,,0.48275347569346805,1.0,,-0.2990849379706795
inferred_sleep,,,,,,,
locomotion,0.12087734143705312,0.17453608169113777,,-0.31023016978268464,-0.2990849379706795,,1.0
