cage_id,animal_id,night_date,active_duration,active_bout_count,active_mean_bout,inactive_duration,inactive_bout_count,inactive_mean_bout,locomotion_duration,locomotion_bout_count,locomotion_mean_bout,feeding_duration,feeding_bout_count,feeding_mean_bout,drinking_duration,drinking_bout_count,drinking_mean_bout,climbing_duration,climbing_bout_count,climbing_mean_bout,inferred_sleep_duration,inferred_sleep_bout_count,inferred_sleep_mean_bout,total_duration,total_distance,active_distance,inactive_distance,locomotion_distance,feeding_distance,drinking_distance,climbing_distance,inferred_sleep_distance,physically_demanding,sleep_related,feeding_resourcing,activity_amplitude,sleep_fragmentation,active_fragmentation,exploration_intensity,PC1,PC2,PC3,PC4,PC5,cluster_k2,cluster_k4,phase_k2,phase_k4
4918,9257,2025-01-10,24614,3223,7.636984176233323,10840,2193,4.943000455996352,2830,1484,1.9070080862533694,2709,795,3.4075471698113207,147,78,1.8846153846153846,4916,1261,3.8984932593180015,4877,62,78.66129032258064,81030,66793.88921711696,12530.061078590657,2904.182208544158,10482.636840016745,1880.6887422261025,50.44682721588518,20440.215237782522,105.4566621632709,7746,4877,2856,27444,0.012710127101271012,0.13093642088157628,2.433736171146546,1.0240241702760104,2.546705814243244,-0.9322815960634401,-0.3791693107248834,0.33166176282502563,0,2,High Activity (Estrus-like),Metestrus
4918,9257,2025-01-11,26968,3333,8.091209120912092,8375,2050,4.085365853658536,2824,1521,1.856673241288626,1901,724,2.6256906077348066,154,53,2.9056603773584904,5033,1138,4.422671353251318,2953,29,101.82758620689656,79168,66984.54490616417,13927.595426289332,2378.0190063588498,10768.837028772396,1659.0693655926054,27.02995447452564,19026.631661550593,79.40048802228772,7857,2953,2055,29792,0.00981719702098849,0.12358633987170455,2.248331651937172,1.5312356985962976,-0.2611618393659623,-0.9932804886265278,-0.9538290125736294,2.063356325447714,0,1,High Activity (Estrus-like),Proestrus
4918,9257,2025-01-12,27747,3501,7.925449871465296,6968,1763,3.9523539421440725,3485,1867,1.8666309587573648,2094,606,3.4554455445544554,117,54,2.1666666666666665,5000,1206,4.1459369817578775,1126,19,59.26315789473684,77142,70008.97053265641,15747.764125459673,2195.547973278535,12624.638439579403,1350.6953213643183,41.17380544443276,18282.717869187436,42.46315543605684,8485,1126,2211,31232,0.01685891748003549,0.12617125558598818,2.2415064365464867,3.085530972625333,-2.656850189176548,-1.7648707804910708,-1.8090437163432194,0.1341486952297816,0,1,High Activity (Estrus-like),Proestrus
4918,9257,2025-01-13,25953,2965,8.753119730185498,12888,1858,6.9364908503767495,1885,1044,1.8055555555555556,3486,558,6.247311827956989,115,48,2.3958333333333335,2474,567,4.36331569664903,5212,75,69.49333333333334,83524,38255.36261280064,11507.525652881744,1213.5558800792685,6717.850022421882,1514.2889413125815,33.3424977821616,6398.49985818514,161.22620125205754,4359,5212,3601,27838,0.01438710915020142,0.11424057948678432,1.3741643957326284,-3.4593342271604177,1.7107495073276788,-0.9709371123205183,0.205803730896281,-1.2387081667105166,1,3,Low Activity (Diestrus-like),Diestrus
4918,9257,2025-01-14,26832,2933,9.148312308216843,10378,1746,5.943871706758305,2360,1268,1.861198738170347,3569,667,5.350824587706147,136,41,3.317073170731707,3630,691,5.2532561505065125,3845,52,73.9423076923077,85309,47974.723483768816,12039.729014576726,1607.0753621695821,8108.1599943465435,1864.173219331105,39.7206392613041,10210.469645534406,105.90762610263526,5990,3845,3705,29192,0.013520540821632865,0.10930570566093989,1.6433639394296171,-1.5370008998593456,0.1510445130596049,-1.6326390613687882,0.37805570773510855,0.11666645609364307,1,2,Low Activity (Diestrus-like),Metestrus
4918,9257,2025-01-16,24528,3519,6.970161977834612,11722,1996,5.872745490981964,3056,1564,1.9539641943734016,3633,664,5.471385542168675,97,42,2.3095238095238093,3894,885,4.4,5121,68,75.30882352941177,84189,53531.39174247031,13238.660380456033,1658.7973573291126,10888.423367781412,2041.7432426528621,34.75911451562497,11182.678912046438,184.59269868928368,6950,5121,3730,27584,0.013276064037485357,0.14346283990378736,1.940597851820566,0.06971998272117777,2.0694512613746903,0.23940401395319094,0.4904768701616011,-1.4958868648905315,1,2,Low Activity (Diestrus-like),Metestrus
4918,9257,2025-01-17,25550,3361,7.601904195180006,12602,2159,5.836961556276053,2296,1259,1.823669579030977,3698,737,5.0176390773405695,84,41,2.048780487804878,2752,555,4.9585585585585585,4692,60,78.2,86101,43736.661944304695,12363.818721910004,1406.9022970827598,8080.792274866622,2263.2879060099403,34.754219975709134,7018.045107276292,108.21510824229851,5048,4692,3782,27846,0.012784998934583422,0.13154083988884976,1.570605880141656,-1.9665394579009383,1.2870964927167037,-0.23702492320801916,0.3955294792968506,-1.527203414119906,1,3,Low Activity (Diestrus-like),Diestrus
4918,9257,2025-01-18,29281,3253,9.001229634183831,8445,1929,4.3779160186625194,2323,1268,1.8320189274447949,3428,546,6.278388278388278,184,72,2.5555555555555554,3151,578,5.451557093425605,1450,25,58.0,80267,44787.39201608745,13787.199363326446,1033.1630752873602,8058.804547088388,2048.716747957027,31.761999362725035,6736.185756425169,28.067824686345762,5474,1450,3612,31604,0.01722949689869056,0.11109213851512875,1.4170983077388846,-1.0810082412378126,-3.430926295220927,-2.3221783434368013,-0.5295975686149613,-0.5897173843643616,1,1,Low Activity (Diestrus-like),Proestrus
4918,9257,2025-01-19,29397,3307,8.889325672815241,8996,2002,4.4935064935064934,2321,1236,1.877831715210356,4338,614,7.06514657980456,285,155,1.8387096774193548,2486,599,4.150250417362271,2482,38,65.3157894736842,83800,41916.52981440601,12964.889368803419,1056.418559964601,8459.840283022706,1883.021604737934,41.82460289591994,5999.506488579129,49.1502851685115,4807,2482,4623,31718,0.015304067660088603,0.11249064562215116,1.3214959429492106,-1.852574307082564,-2.731085987101358,-1.561218692121114,0.9707096508696339,-0.18677530083323354,1,2,Low Activity (Diestrus-like),Metestrus
4918,9257,2025-01-20,26184,3106,8.430135222150676,12697,1938,6.551599587203302,2271,1225,1.8538775510204082,2436,473,5.150105708245243,235,65,3.6153846153846154,2048,543,3.7716390423572745,4816,70,68.8,85200,40469.95016244346,12496.375944863777,1460.0459381390558,7905.989145545635,1297.5048294052422,29.158477762455846,5579.583821332553,198.75678052502226,4319,4816,2671,28455,0.014531866306829977,0.11861752911972503,1.422193919118761,-3.166813211686262,1.0365998261661513,-0.029992518317936576,-0.7253476899591894,-0.5030608324963235,1,3,Low Activity (Diestrus-like),Diestrus
