cage_id,animal_id,period_date,period,active_duration,active_bout_count,active_mean_bout,inactive_duration,inactive_bout_count,inactive_mean_bout,locomotion_duration,locomotion_bout_count,locomotion_mean_bout,feeding_duration,feeding_bout_count,feeding_mean_bout,drinking_duration,drinking_bout_count,drinking_mean_bout,climbing_duration,climbing_bout_count,climbing_mean_bout,inferred_sleep_duration,inferred_sleep_bout_count,inferred_sleep_mean_bout,total_duration,total_distance,active_distance,inactive_distance,locomotion_distance,feeding_distance,drinking_distance,climbing_distance,inferred_sleep_distance,physically_demanding,sleep_related,feeding_resourcing,activity_amplitude,sleep_fragmentation,active_fragmentation,exploration_intensity,PC1,PC2,PC3,PC4,PC5,cluster,estrous_phase,cluster_k2,phase_k2,cluster_k4,phase_k4
4918,9257,2025-01-09,dark,21440,2902,7.388008270158512,11555,1846,6.259479956663055,2464,1292,1.9071207430340558,2675,648,4.128086419753086,86,41,2.097560975609756,4141,906,4.570640176600442,5397,68,79.36764705882354,74439,55046.60388636994,10802.289169401542,2027.3779951815086,9359.981891017967,1603.6895626770056,11.031893716148815,16490.818339801208,119.09419114341677,6605,5397,2761,23904,0.012597258243793997,0.13534816473112263,2.3027234422242184,0.004613557756588032,-0.40522157936010617,2.605929722879958,0.3553455070416624,-0.09799312151967952,1,Diestrus,0,High Activity (Estrus-like),1,Diestrus
4918,9257,2025-01-10,dark,24614,3223,7.636984176233323,10840,2193,4.943000455996352,2830,1484,1.9070080862533694,2709,795,3.4075471698113207,147,78,1.8846153846153846,4916,1261,3.8984932593180015,4877,62,78.66129032258064,81030,66793.88921711696,12530.061078590657,2904.182208544158,10482.636840016745,1880.6887422261025,50.44682721588518,20440.215237782522,105.4566621632709,7746,4877,2856,27444,0.012710127101271012,0.13093642088157628,2.433736171146546,-1.443516233961721,-0.2050420322117981,1.944345084983324,0.3877789014278261,-0.9484948033519852,0,Proestrus,0,High Activity (Estrus-like),0,Proestrus
4918,9257,2025-01-11,dark,26968,3333,8.091209120912092,8375,2050,4.085365853658536,2824,1521,1.856673241288626,1901,724,2.6256906077348066,154,53,2.9056603773584904,5033,1138,4.422671353251318,2953,29,101.82758620689656,79168,66984.54490616417,13927.595426289332,2378.0190063588498,10768.837028772396,1659.0693655926054,27.02995447452564,19026.631661550593,79.40048802228772,7857,2953,2055,29792,0.00981719702098849,0.12358633987170455,2.248331651937172,-1.1798627141704636,1.0433136072533407,0.2676872682737569,-0.2823277077253808,-0.6286911588673603,0,Proestrus,0,High Activity (Estrus-like),0,Proestrus
4918,9257,2025-01-12,dark,27747,3501,7.925449871465296,6968,1763,3.9523539421440725,3485,1867,1.8666309587573648,2094,606,3.4554455445544554,117,54,2.1666666666666665,5000,1206,4.1459369817578775,1126,19,59.26315789473684,77142,70008.97053265641,15747.764125459673,2195.547973278535,12624.638439579403,1350.6953213643183,41.17380544443276,18282.717869187436,42.46315543605684,8485,1126,2211,31232,0.01685891748003549,0.12617125558598818,2.2415064365464867,-1.7309135108803735,2.708379205168954,-1.5182898016076263,-0.4306313479639674,-1.6578680870321338,0,Proestrus,0,High Activity (Estrus-like),0,Proestrus
4918,9257,2025-01-13,dark,25953,2965,8.753119730185498,12888,1858,6.9364908503767495,1885,1044,1.8055555555555556,3486,558,6.247311827956989,115,48,2.3958333333333335,2474,567,4.36331569664903,5212,75,69.49333333333334,83524,38255.36261280064,11507.525652881744,1213.5558800792685,6717.850022421882,1514.2889413125815,33.3424977821616,6398.49985818514,161.22620125205754,4359,5212,3601,27838,0.01438710915020142,0.11424057948678432,1.3741643957326284,2.066560936071968,-2.2198877141370765,1.0108341191283514,0.8897820996443633,-0.7697151768900723,1,Diestrus,0,High Activity (Estrus-like),1,Diestrus
4918,9257,2025-01-14,dark,26832,2933,9.148312308216843,10378,1746,5.943871706758305,2360,1268,1.861198738170347,3569,667,5.350824587706147,136,41,3.317073170731707,3630,691,5.2532561505065125,3845,52,73.9423076923077,85309,47974.723483768816,12039.729014576726,1607.0753621695821,8108.1599943465435,1864.173219331105,39.7206392613041,10210.469645534406,105.90762610263526,5990,3845,3705,29192,0.013520540821632865,0.10930570566093989,1.6433639394296171,0.924407400386722,-0.7676525835615525,0.0019297163278258697,1.1397041871619311,-0.7783490123813875,1,Diestrus,0,High Activity (Estrus-like),1,Diestrus
4918,9257,2025-01-15,dark,25244,2957,8.537030774433548,12127,1680,7.218452380952381,2514,1389,1.8099352051835853,2282,699,3.2646638054363377,147,65,2.2615384615384615,3315,728,4.553571428571429,6080,71,85.63380281690141,83655,50173.431415026884,13187.392175502215,1906.540020255563,9152.364732785492,1658.9976057515812,21.33914068244231,9845.486381530185,265.86298600566505,5829,6080,2429,27758,0.011675711231705311,0.11713210536739949,1.8074653775361822,0.763167868695372,-1.9693739453118504,1.904190959906062,-0.2738093977557817,-0.19967380227315762,1,Diestrus,0,High Activity (Estrus-like),1,Diestrus
4918,9257,2025-01-16,dark,24528,3519,6.970161977834612,11722,1996,5.872745490981964,3056,1564,1.9539641943734016,3633,664,5.471385542168675,97,42,2.3095238095238093,3894,885,4.4,5121,68,75.30882352941177,84189,53531.39174247031,13238.660380456033,1658.7973573291126,10888.423367781412,2041.7432426528621,34.75911451562497,11182.678912046438,184.59269868928368,6950,5121,3730,27584,0.013276064037485357,0.14346283990378736,1.940597851820566,-0.823886553921697,-1.2549063896830617,1.1205163525628776,0.5164947515770326,-0.017970765224298392,1,Diestrus,0,High Activity (Estrus-like),1,Diestrus
4918,9257,2025-01-17,dark,25550,3361,7.601904195180006,12602,2159,5.836961556276053,2296,1259,1.823669579030977,3698,737,5.0176390773405695,84,41,2.048780487804878,2752,555,4.9585585585585585,4692,60,78.2,86101,43736.661944304695,12363.818721910004,1406.9022970827598,8080.792274866622,2263.2879060099403,34.754219975709134,7018.045107276292,108.21510824229851,5048,4692,3782,27846,0.012784998934583422,0.13154083988884976,1.570605880141656,1.022772650451563,-1.6629269236496922,0.5491255133394035,0.7073734457285479,-0.034729394569817926,1,Diestrus,0,High Activity (Estrus-like),1,Diestrus
4918,9257,2025-01-18,dark,29281,3253,9.001229634183831,8445,1929,4.3779160186625194,2323,1268,1.8320189274447949,3428,546,6.278388278388278,184,72,2.5555555555555554,3151,578,5.451557093425605,1450,25,58.0,80267,44787.39201608745,13787.199363326446,1033.1630752873602,8058.804547088388,2048.716747957027,31.761999362725035,6736.185756425169,28.067824686345762,5474,1450,3612,31604,0.01722949689869056,0.11109213851512875,1.4170983077388846,1.3843603333899936,0.6194266268018385,-2.491070031968532,0.7832918427019269,-1.94633980188771,0,Proestrus,0,High Activity (Estrus-like),0,Proestrus
