cage_id,animal_id,night_date,active_duration,active_bout_count,active_mean_bout,inactive_duration,inactive_bout_count,inactive_mean_bout,locomotion_duration,locomotion_bout_count,locomotion_mean_bout,feeding_duration,feeding_bout_count,feeding_mean_bout,drinking_duration,drinking_bout_count,drinking_mean_bout,climbing_duration,climbing_bout_count,climbing_mean_bout,inferred_sleep_duration,inferred_sleep_bout_count,inferred_sleep_mean_bout,total_dark_seconds,total_distance,active_distance,active_distance_per_bout,inactive_distance,inactive_distance_per_bout,locomotion_distance,locomotion_distance_per_bout,feeding_distance,feeding_distance_per_bout,drinking_distance,drinking_distance_per_bout,climbing_distance,climbing_distance_per_bout,inferred_sleep_distance,inferred_sleep_distance_per_bout,activity_amplitude,sleep_fragmentation,active_fragmentation,feeding_ratio,sleep_ratio,exploration_intensity,locomotion_efficiency,PC1,PC2,PC3,PC4,PC5,kmeans_cluster,kmeans_state,hc_cluster,hc_state,estrous_state,UMAP1,UMAP2
4918,9257,2025-01-07,19956,2549,7.82895253040408,12737,1505,8.46312292358804,2350,1220,1.9262295081967213,2056,592,3.472972972972973,52,44,1.1818181818181819,4557,727,6.268225584594223,7015,83,84.51807228915662,71445,53932.04231065558,9887.894132687583,3.8791267684141166,1823.913641668541,1.4661685222415926,8188.148056176442,6.711596767357739,1692.0904496269409,2.858260894640103,15.420139451368083,0.3504577148038201,17565.33884634798,24.161401439268197,169.1683194549695,2.0381725235538495,22306,0.011830102622576968,0.12772460790700005,0.10302149621686627,0.09818604260560423,2.41771830863207,3.482836263792617,0.7163853510145038,-0.8226611505309173,2.6363541201593104,-0.9654848672091273,0.16457972424606268,0,Diestrus-like,2,Estrus-like,Diestrus-like,0.83654857,16.214434
4918,9257,2025-01-08,25114,3306,7.5964912280701755,10250,2201,4.6569741026806,2866,1518,1.8880105401844531,2154,635,3.3921259842519684,62,42,1.4761904761904763,4970,1061,4.68426013195099,3496,49,71.34693877551021,81565,63958.69543310351,12082.387141284158,3.6546845557423344,2082.922380971587,1.245766974265303,10120.580498410245,6.667049076686591,1293.1765929686703,2.036498571604205,21.50520544738379,0.5120287011281854,20455.41208584016,19.279370486182994,91.69574212138683,1.9509732366252517,27980,0.014012010294538175,0.1316344813856261,0.08576547879753135,0.042860996003236645,2.2857901945285555,3.5300245896094333,-0.37925910194692486,0.6920109042559283,0.8725380751017087,-0.17013978345635106,-0.6285346531617394,1,Estrus-like,2,Estrus-like,Estrus-like,6.3788176,14.708901
4918,9257,2025-01-09,23373,3166,7.3825015792798485,12028,2019,5.957404655770183,2830,1482,1.9095816464237516,2966,765,3.877124183006536,177,55,3.2181818181818183,4969,1070,4.64392523364486,5397,68,79.36764705882354,80629,64893.689290815,11936.043587739965,3.770070621522415,2407.081388506279,1.5983276152100125,10804.047439907501,7.290180458776991,1804.9999728061048,2.359477088635431,21.562138255500066,0.39203887737272847,20314.934815281944,18.985920388113968,119.09419114341677,1.8322183252833348,26203,0.012597258243793997,0.13544964490459485,0.12689312911782322,0.0669353838521642,2.4764802812858724,3.816336079091311,-0.706383246790072,-0.36493353390304156,1.8098119737935583,-0.15340431557247047,-0.41303725138807057,1,Estrus-like,2,Estrus-like,Estrus-like,6.7671866,14.294568
4918,9257,2025-01-10,24614,3223,7.636984176233323,10840,2193,4.943000455996352,2830,1484,1.9070080862533694,2709,795,3.4075471698113207,147,78,1.8846153846153846,4916,1261,3.8984932593180015,4877,62,78.66129032258064,81030,66793.88921711696,12530.061078590657,3.887701234437064,2904.182208544158,1.9031338194915846,10482.636840016745,7.06377145553689,1880.6887422261025,2.365646216636607,50.44682721588518,0.6467541950754511,20440.215237782522,16.209528340826743,105.4566621632709,1.8182183131598433,27444,0.012710127101271012,0.13093642088157628,0.11005484460694698,0.06018684207278696,2.433736171146546,3.7028035464559323,-0.7065970257644348,0.04777635010137719,1.6258362360365208,0.1630870241889556,-0.3717731710918269,1,Estrus-like,2,Estrus-like,Estrus-like,6.7938175,14.363122
4918,9257,2025-01-11,26968,3333,8.091209120912092,8375,2050,4.085365853658536,2824,1521,1.856673241288626,1901,724,2.6256906077348066,154,53,2.9056603773584904,5033,1138,4.422671353251318,2953,29,101.82758620689656,79168,66984.54490616417,13927.595426289332,4.178696497536553,2378.0190063588498,1.5562951612296136,10768.837028772396,7.080103240481522,1659.0693655926054,2.2915322729179635,27.02995447452564,0.5099991410287856,19026.631661550593,16.719359983787868,79.40048802228772,2.835731715081704,29792,0.00981719702098849,0.12358633987170455,0.07048833846267938,0.03729995326453536,2.248331651937172,3.811977709299963,-0.40387944938397546,0.49543835367622163,0.8422829586445302,0.6099813880495507,0.9179086933984706,1,Estrus-like,2,Estrus-like,Estrus-like,6.91898,14.714148
4918,9257,2025-01-12,27747,3501,7.925449871465296,6968,1763,3.9523539421440725,3485,1867,1.8666309587573648,2094,606,3.4554455445544554,117,54,2.1666666666666665,5000,1206,4.1459369817578775,1126,19,59.26315789473684,77142,70008.97053265641,15747.764125459673,4.498076014127299,2195.547973278535,1.7125959229941772,12624.638439579403,6.761991665548689,1350.6953213643183,2.2288701672678517,41.17380544443276,0.7624778786006067,18282.717869187436,15.159799228181953,42.46315543605684,2.3590641908920467,31232,0.01685891748003549,0.12617125558598818,0.07546489837105377,0.014596269266168025,2.2415064365464867,3.6215256567927145,-0.934851002989219,2.1833691042979737,-0.8685406129495005,0.4906564940499149,-1.044917790444097,1,Estrus-like,2,Estrus-like,Estrus-like,5.5769134,14.954758
4918,9257,2025-01-13,25953,2965,8.753119730185498,12888,1858,6.9364908503767495,1885,1044,1.8055555555555556,3486,558,6.247311827956989,115,48,2.3958333333333335,2474,567,4.36331569664903,5212,75,69.49333333333334,83524,38255.36261280064,11507.525652881744,3.8811216367223422,1213.5558800792685,0.7680733418223218,6717.850022421882,6.434722243699121,1514.2889413125815,2.713779464717888,33.3424977821616,0.6946353704617,6398.49985818514,11.284832201384726,161.22620125205754,2.270791566930388,27838,0.01438710915020142,0.11424057948678432,0.1343145565230793,0.062400478898533375,1.3741643957326284,3.5619565336277215,2.455282295852565,-1.1595250389333842,0.9038387438089476,0.06435036472972343,-1.221984325751071,0,Diestrus-like,2,Estrus-like,Diestrus-like,1.9327561,16.051434
4918,9257,2025-01-14,26832,2933,9.148312308216843,10378,1746,5.943871706758305,2360,1268,1.861198738170347,3569,667,5.350824587706147,136,41,3.317073170731707,3630,691,5.2532561505065125,3845,52,73.9423076923077,85309,47974.723483768816,12039.729014576726,4.1049195412808475,1607.0753621695821,1.1037605509406472,8108.1599943465435,6.394447945068252,1864.173219331105,2.7948623977977585,39.7206392613041,0.9687960795440025,10210.469645534406,14.776367070237924,105.90762610263526,2.1613801245435766,29192,0.013520540821632865,0.10930570566093989,0.1330078634517199,0.04507091782909389,1.6433639394296171,3.4342058425864224,1.6702895610468134,-0.30591138641002447,0.4578791798561387,0.9815529821157669,-0.5991955141325213,0,Diestrus-like,2,Estrus-like,Diestrus-like,3.5800316,16.92872
4918,9257,2025-01-15,25244,2957,8.537030774433548,12127,1680,7.218452380952381,2514,1389,1.8099352051835853,2282,699,3.2646638054363377,147,65,2.2615384615384615,3315,728,4.553571428571429,6080,71,85.63380281690141,83655,50173.431415026884,13187.392175502215,4.459720045824219,1906.540020255563,1.4388981284947644,9152.364732785492,6.5891754735676695,1658.9976057515812,2.3733871326918186,21.33914068244231,0.328294472037574,9845.486381530185,13.524019754849155,265.86298600566505,3.7980426572237866,27758,0.011675711231705311,0.11713210536739949,0.09039413745296099,0.07267858850530745,1.8074653775361822,3.639111225759639,1.1590426381614956,-1.2943406778608442,1.2995010855841067,-0.3194081635784639,0.14490100146713406,0,Diestrus-like,2,Estrus-like,Diestrus-like,0.98427707,16.307083
4918,9257,2025-01-16,24528,3519,6.970161977834612,11722,1996,5.872745490981964,3056,1564,1.9539641943734016,3633,664,5.471385542168675,97,42,2.3095238095238093,3894,885,4.4,5121,68,75.30882352941177,84189,53531.39174247031,13238.660380456033,3.762051827353235,1658.7973573291126,1.0315903963489506,10888.423367781412,6.961907524156913,2041.7432426528621,3.0749145220675635,34.75911451562497,0.8275979646577374,11182.678912046438,12.635795380843433,184.59269868928368,2.755114905810204,27584,0.013276064037485357,0.14346283990378736,0.1481103999347711,0.060826701508492696,1.940597851820566,3.5618002511551885,-0.3886078505277616,-0.7517934572243011,0.7614770787869104,-0.23996918007490528,-0.7498827378135953,0,Diestrus-like,2,Estrus-like,Diestrus-like,4.8691006,14.453985
