Animal,Cage,LOW Days,Spacings,Assessment
9257,4918,"3, 7, 9, 13, 14","4, 2, 4, 1",STRONG
9258,4918,"4, 5, 7, 8, 12, 14, 16","1, 2, 1, 4, 2, 2",STRONG
9259,4918,"7, 9, 12, 13, 16","2, 3, 1, 3",STRONG
9260,4922,"8, 9, 12, 13, 14","1, 3, 1, 1",STRONG
9261,4922,"8, 10, 13","2, 3",MODERATE
9262,4922,"5, 10, 13","5, 3",MODERATE
9263,4923,"4, 9, 13","5, 4",STRONG
9264,4923,"8, 9, 16","1, 7",IRREGULAR
9265,4923,"6, 9, 12, 13, 14","3, 3, 1, 1",STRONG
